,Year,Percentage Consequence Passives
0,1737,57.14285714
1,1738,0.0
2,1739,0.0
3,1740,25.0
4,1741,0.0
5,1742,0.0
6,1743,0.0
7,1744,0.0
8,1745,0.0
9,1746,0.0
10,1747,0.0
11,1748,0.0
12,1749,0.0
13,1750,0.0
14,1751,0.0
15,1752,100.0
16,1753,0.0
17,1754,0.0
18,1755,0.0
19,1756,0.0
20,1757,0.0
21,1758,0.0
22,1759,0.0
23,1760,0.0
24,1761,0.0
25,1762,0.0
26,1763,0.0
27,1764,0.0
28,1765,0.0
29,1766,50.0
30,1767,91.66666667
31,1768,88.88888889
32,1769,80.0
33,1770,100.0
34,1771,100.0
35,1772,33.33333333
36,1773,51.35135135
37,1774,0.0
38,1775,19.80830671
